Linha,Entidade,Toque,Ponto
Exu Mirim,Exu Mirim,Barravento,"Exu Mirim, você não é pagão (2x)
Você foi batizado, pela lei do cão (2x)
Exu mirim, não tem medo de careta (2x)
Ele é filho do satanás, afilhado do capeta (2x)"
Exu Mirim,Exu Mirim,Ijexa,"Oh meu Senhor das Almas não faça pouco de mim (2x)
Eu sou pequenininho, eu sou Exú Mirim (2x)"
Exu Mirim,Exu Caveirinha,Nago,"Exú Caveirinha venha trabalhar, levanta dessa tumba faz pedra rolar
Na mão esquerda a foice, na cinta o punhal, não sai da linha mano, pra não se dar mal"
Exu Mirim,Exu Mirim,Congo,"Vi um menino sentado na encruza, perguntei o que que foi, perguntei o que que faz (2x)
Eu vim aqui desmanchar feitiço mas pra calunga eu já vou voltar (2x)"
Exu Mirim,Exu Mirim,Barravento,"Ele pulou brasa, ele pulou a porteira, ele pulou brasa, ele pulou a porteira
Botou fogo no paiol em uma brincadeira (2x)
É Mirim, é Mirim, é Exu travesso… É Mirim, é Mirim, é Exu travesso (2x)"
Exu Mirim,Exu Mirim,Ijexa,"É Mirim, é Mirim, é Mirim, é Mirim de pirimpimpim (2x)
Pisa no galho, pisa no toco, tira encrenca, tira sufoco (2x)"
Malandro,Malandro,Samba,"Joguei o limão pro alto e aparei no canivete
Em conversa de malandro otário não se mete  
Se quiser me ver vai no cabaré 
Vou tá sentado em uma mesa rodeado de mulher "
Malandro,Malandro,Samba,"Você que fez trato com Malandro, trato feito não volta atrás (2x)
Você conseguiu o que queria mas aquilo que devia não lembra mais (2x)
Corre o fogo, corre o vento, corre até não poder mais
Um dia você me paga nas voltas que o mundo faz (2x)"
Malandro,Maria Navalha,Congo,"Pode me chamar de covarde mas não abandono essa mulher (2x)
Isso não é mulher é uma tentação (2x)
Ela joga baralho, ela puxa a navalha, risca a faca no chão (2x)"
Malandro,Zé Pelintra,Samba,"Seu doutor seu doutor, bravo Senhor
Zé Pilintra chegou, bravo senhor
Com poderes de Deus, bravo senhor
Zé Pilintra sou eu, bravo senhor
Carro não anda sem boi
Nem Zé anda sem beber
A roda do carro é grande
Zé Pilintra vai dizer"
Malandro,Zé Pelintra,Samba,"De terno branco, seu punhal de aço puro, o seu ponto é seguro quando vem pra trabalhar
Segura o Nego que esse Nego é Zé Pelintra, na descida do morro ele vem trabalhar"
Malandro,Zé Pelintra,Samba,"Tava jogando sinuca, uma nega maluca me apareceu,
Trazia um menino no colo e dizia, toma que o filho é seu (2x)
Se esse filho fosse meu, eu mandava batizar
Me casava com a Navalha e mandava ela criar (2x)"
Malandro,Zé Pelintra,Nago,"Estava sentado numa mesa da Jurema, afirmei meu ponto e balancei o maracá (2x)
E eu saudei foi a Jurema Preta, seu José Pelintra dê um tombo e venha cá (2x)"
